X,Y,OBJECTID,DD_MM_YYY,TIME,LOCATION,DEPTH,MAG,EVALMODE,TYPE,MAG_100,GM_CODE,GM_NAAM,WATER,OAD,STED,BEV_DICHTH
758085.732652580016293,7038311.213907389901578,67,24-8-1998 0:00:00,0:00,Wirdum,3,2.400000000000000,manual,ind,240,GM0024,Loppersum,NEE,208,5,89
785136.368941289954819,6952166.98523448035121,68,28-4-2001 0:00:00,21:07,Roswinkel,2,2.400000000000000,manual,ind,240,GM0114,Emmen,NEE,846,4,321
744504.754762750002556,7056399.090598080307245,69,22-9-2003 0:00:00,12:00,Uithuizen,3,2.400000000000000,manual,ind,240,GM1651,Eemsmond,NEE,359,5,83
751963.160653030034155,7039056.292936299927533,70,21-3-2006 0:00:00,16:48,Garrelsweer,3,2.400000000000000,manual,ind,240,GM0024,Loppersum,NEE,208,5,89
754412.189452750026248,7018220.401217609643936,71,31-3-2010 0:00:00,18:28,Froombosch,3,2.400000000000000,manual,ind,240,GM0040,Slochteren,NEE,221,5,110
739718.016653920058161,7042223.65764494985342,72,19-1-2011 0:00:00,15:50,Westerwijtwerd,3,2.400000000000000,manual,ind,240,GM0024,Loppersum,NEE,208,5,89
757529.135198120027781,7048562.174135809764266,73,15-8-2012 0:00:00,11:45,Leermens,3,2.400000000000000,manual,ind,240,GM0024,Loppersum,NEE,208,5,89
755859.342834549956024,7035890.188875550404191,74,19-1-2013 0:00:00,11:31,Overschild,3,2.400000000000000,manual,ind,240,GM0040,Slochteren,NEE,221,5,110
757306.496216290048324,7042969.103274869732559,75,20-7-2013 0:00:00,6:00,Wirdum,3,2.400000000000000,manual,ind,240,GM0024,Loppersum,NEE,208,5,89
751963.160652769962326,6992622.312041009776294,76,9-11-2013 0:00:00,12:57,Annen,3,2.400000000000000,manual,ind,240,GM1680,Aa en Hunze,NEE,279,5,92
754857.467416350031272,7017105.72985620982945,77,25-2-2016 0:00:00,21:21,Froombosch,3,2.400000000000000,manual,ind,240,GM0040,Slochteren,NEE,221,5,110
747176.422544030006975,6998365.456073599867523,78,23-12-2016 0:00:00,12:00,Zuidlaren,3,2.400000000000000,manual,ind,240,GM1730,Tynaarlo,NEE,503,4,232
745617.949671379989013,6994289.250648380257189,79,16-8-1994 0:00:00,20:24,Anloo,3,2.300000000000000,manual,ind,230,GM1680,Aa en Hunze,NEE,279,5,92
539565.572007599985227,6893053.461217880249023,80,24-12-1995 0:00:00,3:50,Jisp,3,2.300000000000000,manual,ind,230,GM0880,Wormerland,NEE,1409,3,410
713223.977818720042706,6976156.85303299035877,81,16-6-2003 0:00:00,2:52,Ravenswoud,3,2.300000000000000,manual,ind,230,GM0085,Ooststellingwerf,NEE,479,5,114
738938.780217609950341,7041664.619271099567413,82,8-2-2005 0:00:00,20:38,Middelstum,3,2.300000000000000,manual,ind,230,GM0024,Loppersum,NEE,208,5,89
746953.783562520053238,7046697.379988170228899,83,30-5-2005 0:00:00,20:52,Westeremden,3,2.300000000000000,manual,ind,230,GM0024,Loppersum,NEE,208,5,89
747176.422544319997542,7046697.37998815998435,84,26-8-2006 0:00:00,13:26,Westeremden,3,2.300000000000000,manual,ind,230,GM0024,Loppersum,NEE,208,5,89
750070.729307770030573,7052106.48866936005652,85,23-10-2006 0:00:00,20:09,Garsthuizen,3,2.300000000000000,manual,ind,230,GM0024,Loppersum,NEE,208,5,89
751963.16065306996461,7048375.675036259926856,86,26-1-2007 0:00:00,2:24,Zeerijp,3,2.300000000000000,manual,ind,230,GM0024,Loppersum,NEE,208,5,89
730812.45738124998752,6973569.86754634976387,87,26-8-2008 0:00:00,15:36,Geelbroek,3,2.300000000000000,manual,ind,230,GM1680,Aa en Hunze,NEE,279,5,92
750627.326762199983932,7035703.98669217992574,88,4-12-2009 0:00:00,3:21,Ten Post,3,2.300000000000000,manual,ind,230,GM0009,Ten Boer,NEE,371,5,161
758085.732652649981901,7054905.748640259727836,89,3-5-2010 0:00:00,1:40,Godlinze,3,2.300000000000000,manual,ind,230,GM0010,Delfzijl,NEE,680,4,188
759421.566543339984491,7025283.611198870465159,90,11-3-2014 0:00:00,9:21,Schildwolde,3,2.300000000000000,manual,ind,230,GM0040,Slochteren,NEE,221,5,110
763317.74872495001182,7042969.10327436029911,91,25-2-2015 0:00:00,22:04,Appingedam,3,2.300000000000000,manual,ind,230,GM0003,Appingedam,NEE,1045,3,503
763095.109743140055798,7042782.735315820202231,92,24-3-2015 0:00:00,18:00,Appingedam,3,2.300000000000000,manual,ind,230,GM0003,Appingedam,NEE,1045,3,503
535112.792373350006528,6955853.054133689962327,93,23-6-2015 0:00:00,14:24,Anna Paulowna,3,2.300000000000000,manual,ind,230,GM1911,Hollands Kroon,NEE,429,5,133
765878.097015199949965,6942039.038761420175433,94,30-9-2015 0:00:00,9:36,Emmen,3,2.300000000000000,manual,ind,230,GM0114,Emmen,NEE,846,4,321
770330.876651679980569,7035890.188874309882522,95,30-10-2015 0:00:00,2:24,Meedhuizen,3,2.300000000000000,manual,ind,230,GM0010,Delfzijl,NEE,680,4,188
769662.959705870016478,6940750.945769109763205,96,15-2-1991 0:00:00,12:57,Emmen,3,2.200000000000000,manual,ind,220,GM0114,Emmen,NEE,846,4,321
